transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Pvalb+,GABAergic,positive,aspiny,L2/L3,-39.531253814697266,27.500001907348633,-73.5,416.11445433301657,-9.875,-258.8500015811393,4.90625,-53.875003814697266,0.00035999999999991594,1.6075505187995183,586073850_52
Pvalb+,GABAergic,positive,aspiny,L2/L3,-42.406253814697266,19.843751907348633,-74.15625762939453,376.16908343301435,-13.906250953674316,-206.1734683999217,-0.8125,-56.968753814697266,0.000400000000000178,1.8245271147272275,585947309_62
Pvalb+,GABAergic,positive,aspiny,L5,-46.218753814697266,31.781251907348633,-79.53125,447.29561859956755,-6.28125,-254.6624570827616,2.5,-64.53125,0.0004150000000000542,1.7564254414391478,320455763_45
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-46.65625,29.625001907348633,-72.34375,430.4203298276913,-1.7187501192092896,-245.11066870989518,-7.531250476837158,-56.531253814697266,0.00036999999999998145,1.7560244606778928,482493761_53
Sst+,GABAergic,positive,aspiny,L5,-51.406253814697266,31.593751907348633,-78.71875,362.2252341295958,-12.0,-155.55743895679598,-9.281250953674316,-62.937503814697266,0.0005999999999999339,2.3285625975765716,570010469_53
Glutamatergic,Glutamatergic,positive,spiny,L4,-39.843753814697266,45.125003814697266,-68.65625,392.68828298810786,1.5625,-99.49919941179675,19.875001907348633,-46.062503814697266,0.0008200000000000429,3.9466476645997037,595511209_48
Pvalb+,GABAergic,positive,aspiny,L4,-50.5,20.0625,-79.53125,436.71160046505804,-13.9375,-265.450876356868,-1.9375001192092896,-61.96875,0.00033500000000019625,1.645169179543223,478793814_64
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-49.500003814697266,23.593751907348633,-65.875,370.47250109603067,-9.3125,-177.65360990352195,-4.031250476837158,-61.437503814697266,0.0004750000000000032,2.0853643294792747,482764620_41
Glutamatergic,Glutamatergic,positive,spiny,L4,-44.90625,49.125,-68.40625762939453,519.3016023482312,-5.718750476837158,-104.0749583213896,30.687501907348633,-49.656253814697266,0.0007800000000000029,4.989688304698593,569424261_50
Glutamatergic,Glutamatergic,positive,spiny,L5,-48.375,33.03125,-74.0,337.5303537862972,-12.8125,-129.76272813431916,6.156250476837158,-56.6875,0.0007150000000000212,2.6011348454150482,322762730_48
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-46.562503814697266,32.5625,-63.781253814697266,428.7563412306102,-1.3750001192092896,-162.84075270676198,14.687500953674316,-55.03125,0.000520000000000076,2.6329793623755835,562651165_56
